TimeStamp, Vehicle Movement Direction, Vehicle Speed (km/h)
2018-04-25 23:58:44.889839,upward,84
2018-04-25 23:58:44.890416,upward,84
2018-04-25 23:58:45.307666,upward,40
2018-04-25 23:58:52.657572,upward,30
2018-04-25 23:58:52.658110,downward,n.a
2018-04-25 23:59:10.602538,upward,40
2018-04-25 23:59:10.602950,upward,40
2018-04-25 23:59:10.603180,upward,80
2018-04-25 23:59:11.271187,upward,52
2018-04-25 23:59:13.065336,downward,48
2018-04-25 23:59:15.741172,downward,48
2018-04-25 23:59:17.372823,upward,60
2018-04-25 23:59:17.373614,downward,36
2018-04-25 23:59:18.007706,downward,60
2018-04-25 23:59:21.185295,downward,72
2018-04-25 23:59:21.185623,upward,60
2018-04-25 23:59:21.955368,upward,50
2018-04-25 23:59:21.956009,downward,24
2018-04-25 23:59:22.977153,downward,72
2018-04-25 23:59:28.495160,downward,36
2018-04-25 23:59:28.495833,upward,45
2018-04-25 23:59:31.494723,upward,50
2018-04-25 23:59:31.495102,upward,80
2018-04-25 23:59:33.584476,upward,60
2018-04-25 23:59:37.892889,downward,60
2018-04-25 23:59:40.516096,upward,40
2018-04-25 23:59:40.516766,upward,50
